"Aplicativo","DataAlteracao","Descricao","StatusCruzamento","VersaoProducaoListada","EnviadoProducaoEm","EnviadoProducaoPor","FonteProducao","Regra"
"WGNOTIFICACOES.ZIP","31/08/2026 13:25:12","Criado nova notificação ""Carga PDV Desatualizada""","Somado na versao em producao","31/08/2026 13:25:29","03/09/2026 18:00:43","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WGPED.ZIP","26/08/2026 10:11:22","Recompilado para adequar a desativação temporária da gravação do LOG_FORM no utilitários","Somado na versao em producao","26/08/2026 10:11:05","03/09/2026 18:04:15","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WGPESSOA.ZIP","26/08/2026 10:14:16","Recompilado por conta de alteração no utilitários para não gravar mais LOG_FORM","Somado na versao em producao","26/08/2026 10:13:59","03/09/2026 18:04:11","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WGPRECOS.ZIP","06/08/2026 10:22:35","- Correções pontuais na grade de precificação.","Somado na versao em producao","27/08/2026 17:44:21","03/09/2026 18:01:17","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WGPRECOS.ZIP","27/08/2026 17:44:24","- Ajustes e correções conforme demandas via PlannerX. | - Recompilação do Projeto visando atualizar Utilitarios.cs","Somado na versao em producao","27/08/2026 17:44:21","03/09/2026 18:01:17","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WGPRODUTOS.ZIP","13/08/2026 14:54:57","Adicionado tooltip sobre o campo Lei Complementar 224/2025.","Somado na versao em producao","01/09/2026 15:44:49","03/09/2026 18:00:14","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WGPRODUTOS.ZIP","26/08/2026 10:20:08","Recompilado devido a desativação da gravação de log em LOG_FORM.","Somado na versao em producao","01/09/2026 15:44:49","03/09/2026 18:00:14","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WGPRODUTOS.ZIP","01/09/2026 15:44:34","Removido opção de chamada teste da nova entrada de notas agora que o Menu tem a opção padrão","Somado na versao em producao","01/09/2026 15:44:49","03/09/2026 18:00:14","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WGREPORT.ZIP","21/08/2026 08:51:13","Criado relatório ""Produtos > Promoções ativas no produto""","Somado na versao em producao","26/08/2026 10:18:17","03/09/2026 18:04:01","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WGREPORT.ZIP","21/08/2026 09:29:31","Criado relatório ""Produtos > Promoções ativas no produto""","Somado na versao em producao","26/08/2026 10:18:17","03/09/2026 18:04:01","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WGREPORT.ZIP","21/08/2026 10:02:42","Adicionado coluna de validade inicio, fim, preço de venda e desconto no relatório ""Produtos > Promoções ativas no produto""","Somado na versao em producao","26/08/2026 10:18:17","03/09/2026 18:04:01","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WGREPORT.ZIP","26/08/2026 10:18:06","Recompilado devido a desativação da gravação de log em LOG_FORM.","Somado na versao em producao","26/08/2026 10:18:17","03/09/2026 18:04:01","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WGSYNC.ZIP","27/08/2026 16:14:35","- Ajuste no sistema de Logs, incluindo opção de gravação em BD. | - Recompilação do Projeto visando atualizar Utilitarios.cs","Somado na versao em producao","27/08/2026 16:14:32","03/09/2026 18:03:28","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WGSYNCLIB.ZIP","27/08/2026 16:17:53","- Correção nas mensagens de erro na consulta de Produtos. | - Recompilação do Projeto visando atualizar Utilitarios.cs","Somado na versao em producao","02/09/2026 09:45:45","03/09/2026 17:59:46","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WGSYNCLIB.ZIP","02/09/2026 09:45:45","- Correção de modo de compilação pós exclusao da funcionalidade de Log Forms | - Correção nas mensagens de erro na consulta de Produtos. | - Recompilação do Projeto visando atualizar Utilitarios.cs","Somado na versao em producao","02/09/2026 09:45:45","03/09/2026 17:59:46","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WGTABS.ZIP","26/08/2026 10:25:14","Recompilado devido a desativação da gravação de log em LOG_FORM.","Somado na versao em producao","26/08/2026 10:25:25","03/09/2026 18:03:53","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WPAC0001.ZIP","26/08/2026 19:27:37","Adicionado no Bloco-M os registros da lei-complementar. | Obs:ainda e beta. Nao consegui instalar o validador na minha maquina.  Hd com pouco espaco | Portanto ainda nao validei","Somado na versao em producao","26/08/2026 19:27:31","03/09/2026 18:03:35","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"WPROTRIB.ZIP","04/09/2026 17:53:31","Aumentado timeout na obtenção dos produtos na API para tributo para 3min","Beta sem tag de producao localizada","","","","","Aplicativo presente na fonte beta, mas sem tag de producao confirmada nas fontes analisadas"
