"Aplicativo","DataHora","Data","Usuario","Descricao","StatusProducao","CriterioConfirmacao","EnviadoProducaoEm","EnviadoProducaoPor","VersaoListada","VersaoMinimaBanco","FonteBeta","FonteProducao"
"MENU.ZIP","18/08/2026 13:39:03","18/08/2026","32","184 - Relatorio Markup por Data adicionar danfe simplificada, ajustado para somar os 2 numa unica linha | Ajustado no Manutencao PDV  a opçao Abertura de Caixa no PDV. | Atualizar menu.zip e ecf_ws.zip","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"MENU.ZIP","28/08/2026 19:55:54","28/08/2026","32","Na EMISSÃO DE NOTA FISCAL]Validação correta da soma de faturas criadas manualmente na emissão da NF-e, passado de float para currency | Ajustado Problema no Cadastro de Produtos, quando fizer insert default do CST sera branco agora | Ajustado Tratamento de exceção de banco de dados (EXC_ESTOQUE_INSUFICIENTE) na inclusão de item sem estoque em Pedidos de Saída | Ajustado Memorizar Layout de Grade (Robô do XML)","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"MENU.ZIP","01/09/2026 15:18:30","01/09/2026","32","Ajustadoo Relatório (Markup por Data) | Refeito Bloqueio de campos fiscais com Weber Tributário habilitado | Alterarado mensagem de except do Banco de Dados na Entrada de Notas | Ajustado Correção na chamada das Formulações de Estoque | Implementado chamada da entrada de notas em Y no Retaguarda(rodar menu senhaa)","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"MENU.ZIP","10/09/2026 18:33:20","10/09/2026","32","Adicionado UUID na tabela EST_MENSAL_APONTA no Apontamento Automático Estoque Negativo","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","14/09/2026 08:58:19","FRANCISCO SCHWARZ MORAES","10/09/2026 18:32:32","228","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"PROMIS.ZIP","28/08/2026 19:52:53","28/08/2026","32","Ajustado Problema no Fluxo de Lançamentos do Contas a Receber (Promis)","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:01:30","FRANCISCO SCHWARZ MORAES","28/08/2026 19:52:43","228","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"SCANTECH.ZIP","27/08/2026 16:55:20","27/08/2026","1190","- Recompilação do Projeto visando atualizar Utilitarios.cs","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:01:08","FRANCISCO SCHWARZ MORAES","27/08/2026 16:55:18","180","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"SERVIDOR.ZIP","03/08/2026 19:40:51","03/08/2026","32","* - Implementada danfe simplificada para poder ficar pendente caso ocorra erro de comuinicacao com se-faz | * - Adicionado upd_220 entrada em Y | * - Adicionado a Mensagem quando item faz faz parte da lei complementar ""Operação sujeita ao disposto na LC n° 224 de 2025""","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"SERVIDOR.ZIP","05/08/2026 18:29:47","05/08/2026","32","Ajustes no XML para danfe simplificada | tpimp = 6 | Removido tag data e hora saida | Removido tag PISST","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"SERVIDOR.ZIP","06/08/2026 12:03:03","06/08/2026","32","Retornado para tpimp=3 para danfe simplificada e adicionada a tag PISST + dthr saida","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"SERVIDOR.ZIP","10/08/2026 18:16:28","10/08/2026","32","Ajustado para venda NFCe e DanfeSimplificada no PDV a gravacao na tabela PV_ATEND  para o pre-venda | Adicionado Upd_221","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"SERVIDOR.ZIP","12/08/2026 14:03:33","12/08/2026","32","Adicionado UPDs_222,223,224,225","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"SERVIDOR.ZIP","13/08/2026 13:53:14","13/08/2026","32","Adicionado UPD_226  com correção de juros/multa no ServerNFe","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"SERVIDOR.ZIP","14/08/2026 11:37:09","14/08/2026","32","Retirado excecao no sequencia.ib qdo atingir o limite de alter Table","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
