"Aplicativo","DataHora","Data","Usuario","Descricao","StatusProducao","CriterioConfirmacao","EnviadoProducaoEm","EnviadoProducaoPor","VersaoListada","VersaoMinimaBanco","FonteBeta","FonteProducao"
"WGLCTONOTA.ZIP","06/08/2026 13:13:08","06/08/2026","1077","Bloqueado edição do local e a variação de estoque na auditoria do item.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","06/08/2026 14:09:49","06/08/2026","1077","Adicionado opção ""Logs - Auditoria"" no Dashboard. | - Esta opção é controlada pela permissão ""Consultar logs de auditoria""","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","12/08/2026 15:05:24","12/08/2026","1077","- Incluído lançamento, importação e leitura de XML de CT-e modelo 57. | - Implementado vínculo e rateio de CT-e nos itens das NF-es. | - Adicionados frete bruto e crédito tributário do CT-e nos itens de entrada. | - Atualização automática de custos do rateio CT-e e tabelas de preços conforme configurações e produtos associados. | - Auditoria da entrada agora exibe Frete CT-e e Crédito CT-e. | - Fórmulas de Compra e Custo Final disponíveis por tooltip na auditoria, centralizadas com o cálculo para evitar divergências futuras. | - Entrada manual: validação de UF para aceitar somente estados brasileiros válidos. | - Entrada manual: validação de CFOP por origem, bloqueando a inclusão de itens com primeiro dígito diferente na mesma nota. | - Entrada manual: CST/CSOSN filtrado e validado pelo regime tributário do fornecedor, conforme enum próprio do fluxo manual.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","12/08/2026 17:05:54","12/08/2026","1077","-Liberado filtros de Status NF e Tipo/Condição | -Melhorar mensagem de cadastro de Usuario Master ( Especifica o caminho de onde configurar caso não tenha configurado ainda )","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","18/08/2026 15:18:06","18/08/2026","1077","Ajuste em NF-es referenciadas no CT-e: | - Grade de NF-e agora exibe valor total, fornecedor e data/hora de lançamento. | - Adicionado “Ver NF-e” ao lado de “Ignorar justificadamente”. | ---------------- | Ajuste em grade “Memória do rateio” no CT-e: | - Agrupa fixamente por versão, sem permitir remover o agrupamento. | - Ordena versões da mais recente para a mais antiga. | - Expande somente a versão mais recente ao carregar. | - Mostra, no rodapé de cada versão, os totais de frete bruto, crédito e frete custo.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","18/08/2026 15:24:20","18/08/2026","1077","Ajuste em NF-es referenciadas no CT-e: | - Grade de NF-e agora exibe valor total, fornecedor e data/hora de lançamento. | - Adicionado “Ver NF-e” ao lado de “Ignorar justificadamente”. | ---------------- | Ajuste em grade “Memória do rateio” no CT-e: | - Agrupa fixamente por versão, sem permitir remover o agrupamento. | - Ordena versões da mais recente para a mais antiga. | - Expande somente a versão mais recente ao carregar. | - Mostra, no rodapé de cada versão, os totais de frete bruto, crédito e frete custo. | ------------- | Ajuste no botão Cancelar CT-e: | -Tooltip no botão “Cancelar CT-e” explicando que o cancelamento é interno, estorna o rateio e altera o status, sem cancelar na SEFAZ. | -Confirmação reforçada com as mesmas informações e a pergunta “Deseja continuar com essas informações?”.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","19/08/2026 15:55:08","19/08/2026","1077","A revisão da entrada assistida agora mostra PIS e COFINS calculados pelas regras de entrada.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","25/08/2026 15:53:18","25/08/2026","1077","Ajuste na validação do ICMs na auditoria do item da entrada de notas","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","26/08/2026 10:04:29","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","03/09/2026 18:02:59","03/09/2026","1077","Recompilado por conta de alteração no utilitários para não gravar mais LOG_FORM","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","04/09/2026 16:10:52","04/09/2026","1077","Desativado obrigatoriamente a loja a ter estoque novo para usar o módulo de controle de entradas","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLCTONOTA.ZIP","11/09/2026 15:05:50","11/09/2026","1077","Ajustado botão de cadastro de produtos na tela de associação de código do fornecedor","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLOGS.ZIP","06/08/2026 13:45:22","06/08/2026","1077","Adicionado parametro nomeExecutavel na chamada DLL de log ações gerais para já trazer os resultados filtrados pelo exeutável em questão.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGLOGS.ZIP","26/08/2026 10:24:14","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:03:57","FRANCISCO SCHWARZ MORAES","26/08/2026 10:24:25","180","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WGNFE.ZIP","13/08/2026 15:55:20","13/08/2026","1077","Corrigido: a devolução agora grava a alíquota original do XML (ALIQ_IPI) conforme demanda IOS #995","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGNFE.ZIP","26/08/2026 10:16:41","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:04:07","FRANCISCO SCHWARZ MORAES","26/08/2026 10:16:52","191","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WGNOTIFICACOES.ZIP","13/08/2026 18:08:02","13/08/2026","1077","Ajuste no sobre da configuração: Estoque Mínimo em Tempo Real | Correção de português e melhoramento da descrição.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGNOTIFICACOES.ZIP","27/08/2026 09:17:53","27/08/2026","1077","Criado notificações ""Produtos sem Ajuste Tributário"" e ""Produtos Rejeitados pelo Ajuste Weber Tributário""","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGNOTIFICACOES.ZIP","31/08/2026 13:25:12","31/08/2026","1077","Criado nova notificação ""Carga PDV Desatualizada""","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:00:43","FRANCISCO SCHWARZ MORAES","31/08/2026 13:25:29","229","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WGPED.ZIP","26/08/2026 10:11:22","26/08/2026","2152","Recompilado para adequar a desativação temporária da gravação do LOG_FORM no utilitários","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:04:15","FRANCISCO SCHWARZ MORAES","26/08/2026 10:11:05","218","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WGPESSOA.ZIP","26/08/2026 10:14:16","26/08/2026","2152","Recompilado por conta de alteração no utilitários para não gravar mais LOG_FORM","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:04:11","FRANCISCO SCHWARZ MORAES","26/08/2026 10:13:59","208","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WGPRECOS.ZIP","06/08/2026 10:22:35","06/08/2026","1190","- Correções pontuais na grade de precificação.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGPRECOS.ZIP","27/08/2026 17:44:24","27/08/2026","1190","- Ajustes e correções conforme demandas via PlannerX. | - Recompilação do Projeto visando atualizar Utilitarios.cs","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:01:17","FRANCISCO SCHWARZ MORAES","27/08/2026 17:44:21","185","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WGPRODUTOS.ZIP","13/08/2026 14:54:57","13/08/2026","1077","Adicionado tooltip sobre o campo Lei Complementar 224/2025.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGPRODUTOS.ZIP","26/08/2026 10:20:08","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGPRODUTOS.ZIP","01/09/2026 15:44:34","01/09/2026","1077","Removido opção de chamada teste da nova entrada de notas agora que o Menu tem a opção padrão","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:00:14","FRANCISCO SCHWARZ MORAES","01/09/2026 15:44:49","192","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WGREPORT.ZIP","21/08/2026 08:51:13","21/08/2026","1077","Criado relatório ""Produtos > Promoções ativas no produto""","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGREPORT.ZIP","21/08/2026 09:29:31","21/08/2026","1077","Criado relatório ""Produtos > Promoções ativas no produto""","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGREPORT.ZIP","21/08/2026 10:02:42","21/08/2026","1077","Adicionado coluna de validade inicio, fim, preço de venda e desconto no relatório ""Produtos > Promoções ativas no produto""","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGREPORT.ZIP","26/08/2026 10:18:06","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:04:01","FRANCISCO SCHWARZ MORAES","26/08/2026 10:18:17","180","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WGSYNC.ZIP","27/08/2026 16:14:35","27/08/2026","1190","- Ajuste no sistema de Logs, incluindo opção de gravação em BD. | - Recompilação do Projeto visando atualizar Utilitarios.cs","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:03:28","FRANCISCO SCHWARZ MORAES","27/08/2026 16:14:32","180","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WGSYNCLIB.ZIP","27/08/2026 16:17:53","27/08/2026","1190","- Correção nas mensagens de erro na consulta de Produtos. | - Recompilação do Projeto visando atualizar Utilitarios.cs","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGSYNCLIB.ZIP","02/09/2026 09:45:45","02/09/2026","1190","- Correção de modo de compilação pós exclusao da funcionalidade de Log Forms | - Correção nas mensagens de erro na consulta de Produtos. | - Recompilação do Projeto visando atualizar Utilitarios.cs","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 17:59:46","FRANCISCO SCHWARZ MORAES","02/09/2026 09:45:45","180","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WGTABS.ZIP","26/08/2026 10:25:14","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:03:53","FRANCISCO SCHWARZ MORAES","26/08/2026 10:25:25","180","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WG_CCUSTO.ZIP","26/08/2026 10:27:29","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:03:50","FRANCISCO SCHWARZ MORAES","26/08/2026 10:27:41","180","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WG_CONTAS.ZIP","26/08/2026 10:28:22","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:03:46","FRANCISCO SCHWARZ MORAES","26/08/2026 10:28:34","180","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WPAC0001.ZIP","26/08/2026 19:27:37","26/08/2026","32","Adicionado no Bloco-M os registros da lei-complementar. | Obs:ainda e beta. Nao consegui instalar o validador na minha maquina.  Hd com pouco espaco | Portanto ainda nao validei","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:03:35","FRANCISCO SCHWARZ MORAES","26/08/2026 19:27:31","180","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WPROTRIB.ZIP","04/09/2026 17:53:31","04/09/2026","1077","Aumentado timeout na obtenção dos produtos na API para tributo para 3min","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
